username;mentions
groenlinkser;GoogleNL
FeikjevdWeide;GoogleNL
HenkvanHeusden;cdavandaag
GerVrolijk;bartlup
1Holland;VogelvrijeHArts
RobbertMeeder;
Hallyfax;pieterkleinrtl
JohanLuiks;cdavandaag
JanWillemZwang;
Quintenw;AHeeren
Zemelknoper;bartlup
dunhelmonder;EWdeVlieger
Dick_Kalkman;
boychoefb0;bartlup
MartijnWeenink;pieterkleinrtl,NOS
thisisdeborah;bartlup
svenjense;paulinewes,markrutte,jesseklaver
agnesoff;Bertine83
groenlinkser;NOS
handbalfun;
okkodijkstra;Energiecomm,gertjansegers
CruellaCritical;bartlup
NGrare;pvdmeersch
MRvanBalken;nynke
rvermin;sdinjens,markrutte
miek65;EvaKnoet
Melihsamson;bartlup
OostDane;FemkeMerel,mariannethieme
moderndanceman;Blondemevrouw1
LisaLeysen;bartlup
StvnsFrnk;VogelvrijeHArts
valk1955;NOS
SvandenBeukel;PaulVermast,gertjansegers,jesseklaver
wajongjasper;pieterkleinrtl,NOS
okkodijkstra;woukevscherrenb
olle010;bartlup
StvnsFrnk;VogelvrijeHArts
Annevannis;bartlup
LToftdal;LavieJanRoos,pauwnl,JinekLive
minus1971;bartlup
eppyboschma;cdavandaag
miIkrobbers;bartlup
StvnsFrnk;VogelvrijeHArts
Bugs0o07;roepme
InsaneJoelAkane;lydiasprengers,groenlinks
EdwinVanWelie;LodewijkA
CobyvdHeuvel;NOS
IsisEvrinen;CoenvdVen
sonja_vink;roepme
PetervanderBer4;vanderzande
elvirarod4;Echt_Rechts
jorgenrietveld;RogiervKuijk
EdeGroenLinks;bartlup
roepme;
Echt_Rechts;
YidArmyNL;
clairevaessen;
Dooselientje;bartlup
JablonskiMaciek;ClariceGargard
LarsNos;pieterkleinrtl,NOS
RikandRoll;bartlup
VNL153;LavieJanRoos,pauwnl,JinekLive
emptygoldemi;bartlup
NGrare;Smienos
1969Born;VogelvrijeHArts
skipsternl;bartlup
rickwalravens;bartlup
EngelenBouwpro;jeroenfritz
deSchuitemaker;
NaseraA;ArnoldYasinMol
roepme;
Reinste;bartlup
marizsmn;pieterkleinrtl,NOS
Wijdesloten;EWdeVlieger
JaapJansen;pieterkleinrtl,NOS
1245life;lydiasprengers,groenlinks
arielle000;bartlup
Margotdhn;bartlup
script_lady;FoughtyWilliam
BerendBuddingh;jeroenfritz
YurreWieken;CoenvdVen
TerrorOehoe;AndereTijden
script_lady;FoughtyWilliam
JoostvanHezik;bartlup
MarijeC;bartlup
brinkblok;mleijte
fvanderham;cdavandaag
2009bess;Energiecomm,mariannethieme,PartijvdDieren
1245life;vanderzande
raoul84;EWdeVlieger
eppyboschma;cdavandaag
SlijkhuisS;FLUYTKETEL
jandzw;keeskraaijeveld,emileroemer
hesitantnikki;bartlup
JaapHak;janvdijk9464,NOS,henknijboer
landervrschrn;bartlup
lexneer;bartlup
AppleMos;bartlup
Markla94;bartlup
christelvanolst;bartlup
irenekemmers;bartlup
WillemGoudriaan;NOS
margalith;roepme
Spacekeek;bartlup
NederlandsGrond;
script_lady;uri4u,LodewijkA,PvdA
dachutnie;bartlup
PoliticalJake;EWdeVlieger
AHeeren;
Freshly_;bartlup
mariellegrit;bartlup
shrimpocat;LavieJanRoos
LeSeef;EvaKnoet
Diggrich_;BlikopNOS,emileroemer,APechtold,D66
JoeyTax;Energiecomm,mariannethieme,PartijvdDieren
DajenneKet;bartlup
pauleyben;bartlup
handbalfun;
RLGieling;bartlup
MelinaBasak;gertjansegers
evaebbing;
buddendorf;BlikopNOS,APechtold
BassJansen;bartlup
buddendorf;BlikopNOS,emileroemer,APechtold,D66
Hofmees;mlauriks,LodewijkA
HuibertSteen;bartlup
buddendorf;BlikopNOS
buddendorf;BlikopNOS
pino_chetsnek;thierrybaudet
roepme;
jeltijger;EWdeVlieger
velljchor;bartlup
marizsmn;roepme
NinaNL;bartlup
Sprakeloos;
SchefferFiona;bartlup
oberndorf78;NOS
margalith;roepme
script_lady;roepme
Krisgroenewold;
Diggrich_;roepme
mammanathaliemb;bartlup
veranderwens;StellingChecker
Evita79497112;Thijswnl
VariasVias;fransweisglas,sybrandbuma,APechtold
Wiekewielinga;RikSeveke,jesseklaver,LodewijkA,APechtold
roepme;
lianneduiven;Sprakeloos
Wiekewielinga;bartlup
CICCompany;nynke
Rkra82;Holavista
spiritje78;Spittie28
pd4ejp;bartlup
script_lady;roepme
SuzanneStoop;keeskraaijeveld,emileroemer
prins_ah;bartlup
Evita79497112;EWdeVlieger
script_lady;Blondemevrouw1
script_lady;YidArmyNL,geertwilderspvv
Arnoudproos;NOS
drag0nsden;AstaMcCarthy
Debbievanderwal;bartlup
marizsmn;bartlup
VeggenteRay;roepme
Georgdorf;bartlup
RiseAgainstErik;EWdeVlieger
Roelof;keeskraaijeveld,emileroemer
AnBeVe;jeroenfritz
R1chardTM;bartlup
DHMirandaDH;bartlup
Wimstweeter;Arnoudproos
jochemfloor;thiessenmark
TinekeOd;VogelvrijeHArts
JoostA;
Agent_Furb;bartlup
IsisEvrinen;GroningerKrant
GerwiTemmink;NOS
Mandy73631126;VogelvrijeHArts
Hans_Lawalata;evertkwok
ArjanVriend;NOS
Greyman73;EWdeVlieger
jaapvantiel;Amma_Asante
vloris;bartlup
ULikeDonuts;bartlup
YidArmyNL;
Wiekewielinga;nynke
LVogelpoel;VogelvrijeHArts
jpekker;bartlup
johaster;Spittie28
parool;LodewijkA,geertwilderspvv
GerwiTemmink;GoogleNL
MrBakbanaan;bartlup
Nobelvictoriusx;olle010,thierrybaudet,fvdemocratie
gerardoosterwyk;mlauriks,LodewijkA
Erik_Burgers;Spittie28
ellyvwageningen;waltervanpeijpe,gertjansegers,christenunie
MilanDio30;bartlup
gerarddekoe;MohamedMokaddem
Theol991;roepme
wjmspaanderman;fransweisglas,sybrandbuma,APechtold
HesterGersonius;bartlup
erikvanderburgt;LaurensVVoorst
ejveldhuis;bartlup
Georgdorf;plagvreugd
elsgroeneweg;cdavandaag
roepme;
fur3creations;olle010,thierrybaudet,fvdemocratie
MeneerAk;bartlup
caronno;bartlup
FerraroSerge;thiessenmark
mariancah;SaschaBaggerman,LodewijkA
RoesMiek;CoenvdVen
HymnofaLifetime;bartlup
PaulineDuimel;VogelvrijeHArts
brinieuw;Spittie28
sanderschaap;nynke
pittoresq;DannyMekic
pino62;bartlup
jesse_thom;bartlup
lodewijk;bartlup
Wimstweeter;NOS
inverzet;FLUYTKETEL
theenemyofislam;
ActieTD;VogelvrijeHArts
maupdebruijn;Sprakeloos
club3keernix;
CNCCABIGAIL;bartlup
problemlizard;bartlup
MarkAppeldoorn;bartlup
ldosblog;bartlup
matamoros844;Blondemevrouw1
adindalala;bartlup
riesbergen;Holavista
KoenHahn;MohamedMokaddem
ChristaOosterb;LaurensVVoorst,LodewijkA
yangmuda99;EWdeVlieger
ChristaOosterb;mlauriks,LodewijkA
Bartissimus;naatdefeo
roepme;
PvdAtotMonasch;
pittoresq;GreenpeaceNL
LeoBruijn;Mariannevdv,APechtold
BSlettenhaar;marjolijn1994
erikwierstra;JanetDuursma,gertjansegers
BSlettenhaar;mvanhulten
BertusLustig;VogelvrijeHArts
BSlettenhaar;nynke
BertusLustig;VogelvrijeHArts
BertusLustig;VogelvrijeHArts
ygiyim_yilmaz;ArnoldYasinMol
AnBeVe;MohamedMokaddem,LodewijkA
Molduck;ashatenbroeke
BertusLustig;VogelvrijeHArts
bibicg1;remcofrerichs
RoesMiek;VogelvrijeHArts
alwaysmarit;bartlup
JosMoesmanjr;
__merijn__;bartlup
Cvn55520377;
thies_jaarsma;
jandzw;petervheemst
marconijmeijer;bartlup
boerenlog;LiseWitteman
kelseyfieret;bartlup
PasMaNNi;nynke
BertusOtte;VogelvrijeHArts
hoodadam;nynke
EmilevanKrieken;ClariceGargard
Evita79497112;elroyheesbeen
SiccodeKnecht;NOS
minde205;Dick_Kalkman,NOS
merelhulst;bartlup
BertusLustig;VogelvrijeHArts
AllardBolland;woukevscherrenb
marchaverkamp;fransweisglas,sybrandbuma,APechtold
edgarbakker;jeroenfritz
elivogel22;bartlup
Fub_Fub;JacquesBrisant
rayconvb;EWdeVlieger
LiesbethvBerkel;bartlup
HetISO;desleyvdzande,HetISO
thies_jaarsma;
marzioscholten;bartlup
PasMaNNi;bartlup
JanseJ71;bartlup
jpk69;bartlup
andyrossel;GoogleNL
VeniVidiVutsji;bartlup
Allochtoons;Payitforward87
thies_jaarsma;
andyrossel;GoogleNL
HenkvanBerkum;marjolijn1994
Middenlinksrech;Yaskeay
PhotoDick;VogelvrijeHArts
sman1951;nynke
ronvanzeeland;
lucasmevius;NOS
abakker33;GoogleNL
dennislaumen;bartlup
JosOlivier;Energiecomm,mariannethieme
eggnovation;pauwnl
okogam;sybrandbuma
Billenmaat;bartlup
LajosVermesi;bartlup
wouterplaisier;bartlup
LVogelpoel;naatdefeo
likeicare4this;bartlup
sabineByou;
nic0lette;nynke
bendereu;m_de_boer
sandravogelaar;Newshunkie
CCees;roosschlikker
boerenlog;DoProCarpay
Maartenk90;bartlup
markheikens;bartlup
AHHVermeulen;nynke
Merelbilstra;bartlup
TinekeNaafs;marksmits,MinPres,markrutte,VVD
NadineHulstaert;nynke
DjFrenckel;bartlup
HighwaymanNH;
PeterEggen1;christenunie
LwddctsSndsstm;bartlup
eva_zvdh;bartlup
SusanFilmt;Pieterhilhorst
noorlanderedwin;
RohanNagel1997;remyvanmannekes
jeroenhaas79;LiseWitteman
timjonathan;Energiecomm,mariannethieme,PartijvdDieren
Aukelien28;D66,piadijkstra
ChristeldeHaas;BoertjePummel
SQxSQxSQ;bartlup
christintinssen;bartlup
RonaldOostingh;bartlup
Tinekeceelen;Sprakeloos
Layspace;paulinewes,markrutte,jesseklaver
tsjevi;
spartacusdart;MajaMischke
JohnNagtegaal;DonRoelofsen
Cleanindex;
MarkPostma77;NOS
said_elb;ewoudbutter
AnimeJust;cdavandaag
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
MauriceHoog;bartlup
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
JohnCe60;Blondemevrouw1
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
liannevanzon;bartlup
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
club3keernix;
AnnekeStaten;jeroenfritz
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
FoughtyWilliam;
Layspace;paulinewes,KiesKlimaat,LisetMeddens
Sandeman1973;bartlup
dVP_Berkelaar;VogelvrijeHArts
Sebadjas;bartlup
MGijzen63;EWdeVlieger
grchtnfstvl;pvdmeersch
ThomBurgers;cdavandaag
ruudvosenco;bartlup
ercolan66;FLUYTKETEL
Liannecreemers;bartlup
WimvandeCamp;LiseWitteman
MarlousTode;MartijnKonings
damjanamio;DonRoelofsen
Bijan63;JanetDuursma,Bijan63
mike092013;BlikopNOS
SchizoDuckie;bartlup
Nahtalska;Thijswnl
ange22martens;bartlup
Nahtalska;Thijswnl
hennovdl;fantasievriend,groenlinks
derstoetz;EWdeVlieger
vanwieringen;gertjansegers,StienekevdGraaf
WimvanBeek1;VogelvrijeHArts
AlettaBulsink;NOS
woefenwaffer;bartlup
NielsD91;bartlup
RodericEK;bartlup
ivdburgt;bartlup
EricJorem;EWdeVlieger
Robertz81;nynke
HBBurggraaff;fransweisglas,sybrandbuma,APechtold
handbalfun;
Pafege;roepme
tjitskedamstra;bartlup
2525;bartlup
Annnnelieke;bartlup
GerhardRijksen;christenunie
wjh56;hogermike
Dankervv;Anjoseuters
ercolan66;Blondemevrouw1
Mcfred78;bartlup
abakker33;JanHoedeman
trotsmoedertje;bartlup
lauryschepers;bartlup
Rodenboog;VVD
PROPAGANDAPOLLS;roepme
Michellexx1411;bartlup
HWuijtens;ewoudbutter
heinwee;bartlup
Pafege;Newshunkie
MarcBuiter;NOS
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
lxsinfo;BlikopNOS
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
cdahuizen;cdavandaag
NathNijs;bartlup
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
AjaxAlbert;bartlup
OttenHM;GreenpeaceNL
MarleenBarth;SaschaBaggerman,LodewijkA
Daasje;JorisW_GP
Maupie1972;EWdeVlieger
netevenleuker;bartlup
chrisbouman;bartvanmerwijk_
Gladstoned666;EWdeVlieger
Anietjuh67;CoenvdVen
stopmoslimhaat;
InekeHanssen;remyvanmannekes
pievaer;jesseklaver,groenlinks
RutgervdNoort;remcofrerichs
Marjan76;bartlup
MJoemman;roepme
MarleenBarth;Dick_Kalkman,NOS
GerhardRijksen;emileroemer,jesseklaver,mariannethieme,gertjansegers,keesvdstaaij
infinitesimaal;petervheemst
Reneezel;bartlup
FjodorM;NOS
maestraroos;fantasievriend,pauwnl,JinekLive
Middenlinksrech;Dick_Kalkman,NOS
josephinaK;EWdeVlieger
kort1804;EWdeVlieger
kort1804;EWdeVlieger
GVerbaan;bartlup
Framedropz;
Dries_Mulder;NOS
mattijsversteeg;bartlup
chrisbouman;JOR_ID
BenMatthijs;waaromweetikdit
Pateriekers;volkskrant
RoesMiek;SaraJac53729508
WilcoBoom;Dick_Kalkman,NOS
pvdahattem;Amma_Asante
hendrikszen;CoenvdVen
KlaasBrouwerURK;LiseWitteman
IwanBrink;
Hitcher78;tolsmageneva
spacema09104056;Newshunkie
R_Boekee;EWdeVlieger
Wauwelwok;roepme
neuromanter;bartlup
frenkacuarios;EWdeVlieger
mickeymeat;Newshunkie
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
imaracaria;bartlup
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
GoedeNaFont;FLUYTKETEL
rubenwoudsma;volkskrant
jaapjandevries;bartlup
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
jjdemul;uri4u,LodewijkA,PvdA
PeterEggen1;
RikSeveke;jesseklaver,LodewijkA,APechtold
AizedeBoer;bartlup
roepme;
alexisleenders;bartlup
Eeuwhorst;nynke
Tino2401;thiessenmark
CGvandenBerg;bartlup
BioFutura;GoogleNL
sinasalim;nynke
peterhaverkort;mvanhulten
MariskaGL;olle010,thierrybaudet,fvdemocratie
JohnSwelsen;fransweisglas
verhees;olle010,thierrybaudet,fvdemocratie
AagtjeS;cdavandaag
DinieVeldFonk;mlauriks,LodewijkA
sinasalim;rutger_
dobbelska;Energiecomm,mariannethieme,PartijvdDieren
Avniturgut;sdinjens
MarriAnneVrij;mleijte
EnzingJackie;NOS
MelkMuylle;bartlup
jaapvanzessen;
EricJorem;EWdeVlieger
JohanWesemann;fvanwinsum,NOS
BlindDaIey;bartlup
daltonwz;Thijswnl
RaymondWieland;keeskraaijeveld,emileroemer
CeesSluyk;fransweisglas,sybrandbuma,APechtold
RanchorAV;GoogleNL
TypoTini;MartineGrafisch
nl_limon;bartlup
flightlss;bartlup
11hvdborn;ljansedejong,gertjansegers,christenunie
the_pronouncer;trgjaski82,kwybes
ThomHeuvel;
Studio_09;MartineGrafisch
Spittie28;Spittie28
GerhardRijksen;PvdA,LodewijkA
_NickMuller_;bartlup
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
VrijmiboTholen;MartineGrafisch
Phans63;volkskrant
A_n_j_a_a;Spittie28
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
Vacuumbom;bartlup
loekiwesterveld;mlauriks,LodewijkA
11hvdborn;ackumar070,gertjansegers
VKroesjofskny;waaromweetikdit
JentjeV;cdavandaag
Thiesinger;HiltjeKeller,mariannethieme
tijeroam;elroyheesbeen
LeonvandenDool;ClariceGargard
peterdavina;keeskraaijeveld,emileroemer
irispvdaoss;mlauriks,LodewijkA
RuudGrondel;NOS
boofrei;mvanhulten
engelina2911;VogelvrijeHArts
vanterbeek;StanVanEck
rob_koops;petervheemst
deArboman;GreenpeaceNL
HertogAlex;VogelvrijeHArts
tinekeoosterloo;mlauriks,LodewijkA
GideonGoudsmit;ErikCamman,DeSpeld,realDonaldTrump
Patr1ck1984;bartlup
hwagemaker23;Blondemevrouw1
Emootje;
mickeymeat;EWdeVlieger
EmilioMetselari;mvanhulten
elroyheesbeen;
willemelshof;nynke
SaskiaRoozeboom;bartlup
VegaStrong;GreenpeaceNL
HazenbroekJo;Thijswnl
jennygelderman;bartlup
bregjejonkhart;Energiecomm,mariannethieme,PartijvdDieren
janwillemwits;bartlup
Buldmaster;NOS
TakvanSport;
DickvanderGoot;ackumar070,gertjansegers
A3aanSchellevis;
capbvl;waaromweetikdit
GerhardRijksen;geertwilderspvv
marcscheepers;bartlup
hbinnema;pieterkleinrtl,NOS
johnnybegood757;EWdeVlieger
jochemfloor;mlauriks
josanmeijers;jeroenfritz
HartgerB;mvanhulten
HesterAssen;mlauriks,LodewijkA
BonteRaaf;pvdmeersch
JongeriusR;MartineGrafisch
mauricerossum;
willeke_vOoijen;remyvanmannekes
TakvanSport;
Ron_013;GoogleNL
ceesvanrees;NOS
erik_0328;pieterkleinrtl,NOS
1235_5321;bartlup
KatSoykan;mvanhulten
GPuylaert;NOS
MariskaGL;uri4u
Yama_Radfar;NOS
Dirtdog2000;nathandegroot
glopnl;
dh_wil;uri4u
Wauwelwok;Blondemevrouw1
BenjaminDijk;bartlup
epdelap;wkkippen,GreenpeaceNL
Olafvandijk;mvanhulten
GerhardRijksen;markrutte,VVD
pimpreekt;Roselaers
Maanwel;bartlup
dh_wil;Newshunkie
Marcel_Eichhorn;nynke
zpjr;EWdeVlieger
jan_kas;nandokasteleijn
marcelhartjes;bartlup
charlee1959;GoogleNL
fsa015;marjolijn1994
Dame2010;EWdeVlieger
pun_rocker;bartlup
Weessies;ewoudbutter
Haluschi;NOS
PVVKesteren;EWdeVlieger
mickeymeat;Blondemevrouw1
eddy_terstall;mvanhulten
RToulouse;bartlup
Mr_adept_pvv;EWdeVlieger
WaltherTimmer;EWdeVlieger
Dc3KssConnie;bartlup
WouterWeide;pvalstar
keesvreeken;
GLMiddenDrenthe;JorisW_GP
RobinSmit98;
WouterWeide;pvalstar
maretderaad;mlauriks
ALICEGEURTS1;fantasievriend,pauwnl,JinekLive
PeterSpannring;FLUYTKETEL,jesseklaver
Kigootje;
AdSchenk;cdavandaag
TomvdnN;Sprakeloos
haaveedee;bartlup
BurgerRoy;EWdeVlieger
PVDANOORDENVELD;MichelOss,LodewijkA
HuubHabets;VogelvrijeHArts
josjvanoord;gertjansegers
GerhardRijksen;
blij_e;nynke
PeterSpannring;EWdeVlieger
BerryWillems;nynke
ErikvanRinsum;Amma_Asante
AdSchenk;cdavandaag
RenataFCG;nynke
Rocky_Bilboa82;EWdeVlieger
roland02021967;svanweyenberg
fantasievriend;pauwnl,JinekLive
jinez70;EWdeVlieger
janbroekert;EWdeVlieger
BenjaminWalski;bartlup
Thiesinger;SluweVoszz
CorryvanRheeOA;ewoudbutter,sybrandbuma,LodewijkA
robdenijs;mvanhulten
studiolytstomke;NOS
de_willem;mlauriks
BoogaardM;PPDelft
maretderaad;LiseWitteman
PeterEggen1;
WillemvanSermon;jeroenfritz
rvl69;Blondemevrouw1
CFCR1962;EWdeVlieger
TweetCheckerzNL;NOS
CarmenDorlo;feliciavdgraaf,ronfresen
Bartissimus;VogelvrijeHArts
AgmarMM;NOS
Phans63;FLUYTKETEL
Vera62359069;MartineGrafisch
Rieperhitman;Thijswnl
TweetCheckerzNL;volkskrant
Lot_FAnl;bartlup
HvHooft;TheoJans1
MyriamCops;marjolijn1994
RijnPatrick;EWdeVlieger
SybrenCUpsOV;PaulVermast,gertjansegers,jesseklaver
san0255;Blondemevrouw1
ftvanoostveen;bartlup
SabethdeBoer;NOS
lpouwelse;MartineGrafisch
EvaRuwe;Blondemevrouw1
HenriSwinkels;CoenvdVen
jeanne_NL;jeroenfritz
Dun_Ad;Newshunkie
mickeymeat;EWdeVlieger
martijnneggers;bartlup
Nomad007_;ewoudbutter
hennovdl;fantasievriend,APechtold
koosiedoel;Legerdesheils
slowpokedj;
TalithaForrer;vanderzande,nosop3
fvdstadt;NOS
deArboman;randymartens
Nomad007_;ArnoldYasinMol
sventrommelen_;StemWijzer
RooieSpieker;mlauriks
HvHooft;bramvommen
NederBelg69;ErikCamman,DeSpeld,realDonaldTrump
EvdBosch66;klaazkoel
brian_2003_;bartlup
Franc1962;cdavandaag
lennartvdl;paulinewes,markrutte,jesseklaver
MishaScholte;bartlup
MirjamPielage;VogelvrijeHArts
Frank_DS;fantasievriend,groenlinks
JoeyvanAken;LiseWitteman
PaulSiegers;pi
EvaRuwe;ReinBijlsma
annefleurmel;
Sprakeloos;
Dierckxsens;NOS
ReneDercksen;EWdeVlieger
pimbrussee;Newshunkie
nolapdog;
JasJanssen;victorginori
JosBolte;peterkerris
pittoresq;Energiecomm
RPlasterk;jeroenfritz
crottvh;
Pjotrovski;
Wendyvianen;strandjutter_
FLSpringintveld;Legerdesheils
Shirodj93;LiseWitteman
SarcoNL;EWdeVlieger
BiancaPrins;klaazkoel
feliciavdgraaf;ronfresen
W_Struijvenberg;MaartenHHoog
LenyTanis;FrankdeLau
jaapdebruijn;keeskraaijeveld,emileroemer
HenriSwinkels;basvandervoort,emileroemer
connydelaat;lydiasprengers,groenlinks
MisterBlok;Sprakeloos
PingPongRamon;nynke
Ellepel67;VogelvrijeHArts
AnjaKoerten;remyvanmannekes
audreytryba78;FLUYTKETEL
ZusjevanWillem;bartlup
Rocky_Bilboa82;EWdeVlieger
JetjeTweetjes;bartlup
vrijmoedig;fransweisglas,sybrandbuma,APechtold
MartineGrafisch;
Framedropz;fvdemocratie,thierrybaudet,THiddema
BiancaPrins;cdavandaag
tarabass;
annethead_head;marije1711,ahmedmarcouch,PvdA
gklein_klein;LiseWitteman
Farah_Karimi;PaulVermast,gertjansegers,jesseklaver
yyeIhsa;bartlup
Mabspace;Energiecomm
riemersma40;CoenvdVen
Vreports;StVluchteling
hanseuverman;bartlup
